licencePlate,start_time,end_time,start_lat,start_lon,end_lat,end_lon,travel_time,vehicleTypeId,zipCode,model,type,postcode,zipCodeFixed,end_zipCode,end_postcode,start_area,end_area,route,day_of_week,hour_of_day
dz92223,2025-08-10 22:37:08,2025-08-11 06:59:09,55.645988,12.600913,55.645988,12.600913,502,34,2300,Renault Zoe,car,2300,2300,2300.0,2300.0,Kobenhavn S,Kobenhavn S,Kobenhavn S → Kobenhavn S,Sunday,22
ea53687,2025-08-12 10:41:09,2025-08-12 14:05:08,55.678188,12.5611,55.678143,12.561143,204,34,1602,Renault Zoe,car,1550,1550,2500.0,2500.0,Kobenhavn V,Valby,Kobenhavn V → Valby,Tuesday,10
ea56798,2025-08-11 10:47:08,2025-08-11 11:33:08,55.683681,12.575689,55.683681,12.575689,46,34,1124,Renault Zoe,car,1050,1050,2400.0,2400.0,Kobenhavn K,Kobenhavn NV,Kobenhavn K → Kobenhavn NV,Monday,10
cx86642,2025-08-13 11:47:08,2025-08-13 14:01:08,55.651531,12.600972,55.651546,12.60095,134,34,2300,Renault Zoe,car,2300,2300,2100.0,2100.0,Kobenhavn S,Kobenhavn O,Kobenhavn S → Kobenhavn O,Wednesday,11
cx86753,2025-08-13 13:13:08,2025-08-13 15:19:09,55.671841,12.563845,55.671982,12.563839,126,34,1701,Renault Zoe,car,1550,1550,2100.0,2100.0,Kobenhavn V,Kobenhavn O,Kobenhavn V → Kobenhavn O,Wednesday,13
cx87443,2025-08-13 10:49:09,2025-08-13 11:13:09,55.655804,12.507791,55.655804,12.507791,24,34,2500,Renault Zoe,car,2500,2500,2450.0,2450.0,Valby,Kobenhavn SV,Valby → Kobenhavn SV,Wednesday,10
de12874,2025-08-13 22:17:09,2025-08-14 05:41:09,55.693016,12.498429,55.692928,12.498415,444,34,2720,Renault Zoe,car,2720,2720,2150.0,2150.0,Vanlose,Nordhavn,Vanlose → Nordhavn,Wednesday,22
de88656,2025-08-13 21:21:08,2025-08-14 03:29:08,55.696941,12.537494,55.696877,12.537496,368,34,2200,Renault Zoe,car,2200,2200,2000.0,2000.0,Kobenhavn N,Frederiksberg C,Kobenhavn N → Frederiksberg C,Wednesday,21
dy18912,2025-08-13 20:01:09,2025-08-14 08:59:08,55.668114,12.542098,55.668041,12.54211,778,34,1758,Renault Zoe,car,1550,1550,2300.0,2300.0,Kobenhavn V,Kobenhavn S,Kobenhavn V → Kobenhavn S,Wednesday,20
dy44134,2025-08-13 17:27:08,2025-08-14 05:17:08,55.702816,12.528581,55.702782,12.528674,710,34,2400,Renault Zoe,car,2400,2400,2700.0,2700.0,Kobenhavn NV,Bronshoj,Kobenhavn NV → Bronshoj,Wednesday,17
dy44149,2025-08-12 15:09:08,2025-08-13 04:59:08,55.69878,12.529724,55.698853,12.529696,830,34,2400,Renault Zoe,car,2400,2400,2300.0,2300.0,Kobenhavn NV,Kobenhavn S,Kobenhavn NV → Kobenhavn S,Tuesday,15
dy74214,2025-08-13 08:01:08,2025-08-13 09:13:08,55.690121,12.511422,55.690121,12.511374,72,34,2720,Renault Zoe,car,2720,2720,2400.0,2400.0,Vanlose,Kobenhavn NV,Vanlose → Kobenhavn NV,Wednesday,8
ea53688,2025-08-13 07:13:09,2025-08-13 07:37:08,55.659416,12.568131,55.659359,12.568144,24,34,1561,Renault Zoe,car,1550,1550,2100.0,2100.0,Kobenhavn V,Kobenhavn O,Kobenhavn V → Kobenhavn O,Wednesday,7
ea53688,2025-08-13 08:05:08,2025-08-13 08:07:08,55.697689,12.585358,55.697689,12.585358,2,34,2100,Renault Zoe,car,2100,2100,2100.0,2100.0,Kobenhavn O,Kobenhavn O,Kobenhavn O → Kobenhavn O,Wednesday,8
eb61368,2025-08-13 20:43:08,2025-08-14 04:59:08,55.679394,12.576556,55.679379,12.576581,496,34,1154,Renault Zoe,car,1050,1050,2300.0,2300.0,Kobenhavn K,Kobenhavn S,Kobenhavn K → Kobenhavn S,Wednesday,20
ec12341,2025-08-13 16:41:08,2025-08-14 05:31:08,55.700474,12.509151,55.700481,12.509103,770,34,2700,Renault Zoe,car,2700,2700,2100.0,2100.0,Bronshoj,Kobenhavn O,Bronshoj → Kobenhavn O,Wednesday,16
bp20139,2025-08-14 10:21:08,2025-08-14 14:11:09,55.704216,12.54893,55.704346,12.549027,230,2,2200,Renault Zoe,car,2200,2200,2450.0,2450.0,Kobenhavn N,Kobenhavn SV,Kobenhavn N → Kobenhavn SV,Thursday,10
cb23361,2025-08-14 17:07:08,2025-08-15 07:43:09,55.662807,12.517796,55.662743,12.517914,876,2,2500,Renault Zoe,car,2500,2500,2000.0,2000.0,Valby,Frederiksberg C,Valby → Frederiksberg C,Thursday,17
cx86656,2025-08-15 04:47:08,2025-08-15 05:59:08,55.715935,12.538888,55.715927,12.538896,72,34,2400,Renault Zoe,car,2400,2400,2200.0,2200.0,Kobenhavn NV,Kobenhavn N,Kobenhavn NV → Kobenhavn N,Friday,4
cx86667,2025-08-14 09:25:08,2025-08-14 13:41:08,55.673054,12.54233,55.672997,12.5425,256,34,1815,Renault Zoe,car,2000,2000,2400.0,2400.0,Frederiksberg C,Kobenhavn NV,Frederiksberg C → Kobenhavn NV,Thursday,9
dc47415,2025-08-15 15:11:09,2025-08-15 15:33:08,55.697617,12.590183,55.697617,12.590214,22,34,2100,Renault Zoe,car,2100,2100,2400.0,2400.0,Kobenhavn O,Kobenhavn NV,Kobenhavn O → Kobenhavn NV,Friday,15
dd72524,2025-08-14 13:57:08,2025-08-14 15:11:08,55.716114,12.547538,55.716114,12.547565,74,34,2100,Renault Zoe,car,2100,2100,2300.0,2300.0,Kobenhavn O,Kobenhavn S,Kobenhavn O → Kobenhavn S,Thursday,13
de88653,2025-08-15 13:41:08,2025-08-15 17:41:08,55.680779,12.518162,55.680809,12.518111,240,34,2000,Renault Zoe,car,2000,2000,2700.0,2700.0,Frederiksberg C,Bronshoj,Frederiksberg C → Bronshoj,Friday,13
de88685,2025-08-14 21:05:08,2025-08-15 07:09:08,55.717724,12.489514,55.717724,12.489502,604,34,2700,Renault Zoe,car,2700,2700,2200.0,2200.0,Bronshoj,Kobenhavn N,Bronshoj → Kobenhavn N,Thursday,21
de88685,2025-08-15 07:47:08,2025-08-15 07:55:08,55.708782,12.486055,55.708782,12.486055,8,34,2700,Renault Zoe,car,2700,2700,2200.0,2200.0,Bronshoj,Kobenhavn N,Bronshoj → Kobenhavn N,Friday,7
de88694,2025-08-15 11:51:09,2025-08-15 13:23:08,55.68819,12.598028,55.688175,12.598042,92,34,1263,Renault Zoe,car,1050,1050,2100.0,2100.0,Kobenhavn K,Kobenhavn O,Kobenhavn K → Kobenhavn O,Friday,11
dx15903,2025-08-15 11:23:08,2025-08-15 11:53:09,55.658398,12.598214,55.658398,12.598214,30,34,2300,Renault Zoe,car,2300,2300,2300.0,2300.0,Kobenhavn S,Kobenhavn S,Kobenhavn S → Kobenhavn S,Friday,11
dy44126,2025-08-14 17:47:08,2025-08-14 19:09:08,55.722435,12.557278,55.722435,12.55728,82,34,2100,Renault Zoe,car,2100,2100,2200.0,2200.0,Kobenhavn O,Kobenhavn N,Kobenhavn O → Kobenhavn N,Thursday,17
dz55146,2025-08-15 13:37:08,2025-08-15 14:39:08,55.708683,12.486847,55.708683,12.486861,62,34,2700,Renault Zoe,car,2700,2700,2300.0,2300.0,Bronshoj,Kobenhavn S,Bronshoj → Kobenhavn S,Friday,13
dz80997,2025-08-14 13:51:08,2025-08-14 19:27:08,55.68969,12.572921,55.689476,12.572804,336,34,1352,Renault Zoe,car,1050,1050,2100.0,2100.0,Kobenhavn K,Kobenhavn O,Kobenhavn K → Kobenhavn O,Thursday,13
dz81008,2025-08-14 08:49:08,2025-08-14 19:59:08,55.681664,12.590346,55.681618,12.590413,670,34,1254,Renault Zoe,car,1050,1050,2720.0,2720.0,Kobenhavn K,Vanlose,Kobenhavn K → Vanlose,Thursday,8
dz81047,2025-08-15 09:23:08,2025-08-15 09:41:09,55.67902,12.514227,55.6791,12.514302,18,34,2000,Renault Zoe,car,2000,2000,2300.0,2300.0,Frederiksberg C,Kobenhavn S,Frederiksberg C → Kobenhavn S,Friday,9
dz92199,2025-08-16 04:17:09,2025-08-16 05:15:08,55.658447,12.514604,55.658218,12.514445,58,34,2500,Renault Zoe,car,2500,2500,2300.0,2300.0,Valby,Kobenhavn S,Valby → Kobenhavn S,Saturday,4
eb61357,2025-08-14 12:53:08,2025-08-14 17:41:09,55.707748,12.59848,55.707748,12.59848,288,34,2150,Renault Zoe,car,2150,2150,2100.0,2100.0,Nordhavn,Kobenhavn O,Nordhavn → Kobenhavn O,Thursday,12
eb69750,2025-08-14 19:27:08,2025-08-15 01:11:08,55.708267,12.56143,55.708267,12.561495,344,34,2100,Renault Zoe,car,2100,2100,2100.0,2100.0,Kobenhavn O,Kobenhavn O,Kobenhavn O → Kobenhavn O,Thursday,19
ec31147,2025-08-15 05:31:08,2025-08-15 09:59:09,55.676807,12.498201,55.676758,12.49816,268,34,2500,Renault Zoe,car,2500,2500,2000.0,2000.0,Valby,Frederiksberg C,Valby → Frederiksberg C,Friday,5
ej84945,2025-08-14 08:49:08,2025-08-14 14:33:09,55.66478,12.576524,55.664772,12.576563,344,34,2300,Renault Zoe,car,2300,2300,2720.0,2720.0,Kobenhavn S,Vanlose,Kobenhavn S → Vanlose,Thursday,8
bp20016,2025-08-17 11:37:09,2025-08-17 13:01:09,55.670509,12.589573,55.670483,12.589628,84,2,1420,Renault Zoe,car,1050,1050,2500.0,2500.0,Kobenhavn K,Valby,Kobenhavn K → Valby,Sunday,11
bp20016,2025-08-17 15:39:08,2025-08-18 07:27:09,55.670418,12.584532,55.670483,12.58455,948,2,1411,Renault Zoe,car,1050,1050,2500.0,2500.0,Kobenhavn K,Valby,Kobenhavn K → Valby,Sunday,15
ce49286,2025-08-17 19:09:08,2025-08-17 19:25:09,55.698521,12.575167,55.698521,12.575167,16,2,2100,Renault Zoe,car,2100,2100,2300.0,2300.0,Kobenhavn O,Kobenhavn S,Kobenhavn O → Kobenhavn S,Sunday,19
cx86642,2025-08-16 05:17:09,2025-08-16 07:35:08,55.661377,12.610102,55.661385,12.610111,138,34,2300,Renault Zoe,car,2300,2300,2100.0,2100.0,Kobenhavn S,Kobenhavn O,Kobenhavn S → Kobenhavn O,Saturday,5
cx86705,2025-08-17 07:23:08,2025-08-17 07:37:08,55.657356,12.599229,55.657356,12.599125,14,34,2300,Renault Zoe,car,2300,2300,2100.0,2100.0,Kobenhavn S,Kobenhavn O,Kobenhavn S → Kobenhavn O,Sunday,7
de88581,2025-08-16 05:29:09,2025-08-16 06:15:08,55.692188,12.558441,55.692268,12.558472,46,34,2200,Renault Zoe,car,2200,2200,2300.0,2300.0,Kobenhavn N,Kobenhavn S,Kobenhavn N → Kobenhavn S,Saturday,5
de88582,2025-08-16 18:55:09,2025-08-17 06:13:09,55.648525,12.506323,55.648518,12.506278,678,34,2500,Renault Zoe,car,2500,2500,2300.0,2300.0,Valby,Kobenhavn S,Valby → Kobenhavn S,Saturday,18
de88586,2025-08-16 10:19:08,2025-08-16 10:35:09,55.629719,12.57554,55.629719,12.57554,16,34,1561,Renault Zoe,car,1550,1550,2300.0,2300.0,Kobenhavn V,Kobenhavn S,Kobenhavn V → Kobenhavn S,Saturday,10
de88659,2025-08-17 03:51:08,2025-08-17 07:55:09,55.682625,12.579584,55.682583,12.579638,244,34,1122,Renault Zoe,car,1050,1050,2300.0,2300.0,Kobenhavn K,Kobenhavn S,Kobenhavn K → Kobenhavn S,Sunday,3
de88740,2025-08-16 10:11:10,2025-08-16 10:15:08,55.694084,12.544385,55.694115,12.544436,4,34,2200,Renault Zoe,car,2200,2200,2500.0,2500.0,Kobenhavn N,Valby,Kobenhavn N → Valby,Saturday,10
df15139,2025-08-17 15:51:09,2025-08-17 17:57:09,55.706894,12.576062,55.706997,12.57608,126,34,2100,Renault Zoe,car,2100,2100,2500.0,2500.0,Kobenhavn O,Valby,Kobenhavn O → Valby,Sunday,15
dr11563,2025-08-16 05:17:09,2025-08-16 05:41:08,55.654018,12.498779,55.654018,12.498777,24,34,2500,Renault Zoe,car,2500,2500,2200.0,2200.0,Valby,Kobenhavn N,Valby → Kobenhavn N,Saturday,5
dr11575,2025-08-16 10:29:09,2025-08-16 10:33:08,55.714249,12.571285,55.714249,12.571285,4,34,2100,Renault Zoe,car,2100,2100,2300.0,2300.0,Kobenhavn O,Kobenhavn S,Kobenhavn O → Kobenhavn S,Saturday,10
dr11596,2025-08-16 05:17:09,2025-08-16 10:05:09,55.669605,12.49497,55.669579,12.494979,288,34,2500,Renault Zoe,car,2500,2500,2300.0,2300.0,Valby,Kobenhavn S,Valby → Kobenhavn S,Saturday,5
dr11732,2025-08-16 18:27:08,2025-08-17 05:23:08,55.664394,12.538156,55.664307,12.53807,656,34,1750,Renault Zoe,car,1550,1550,2200.0,2200.0,Kobenhavn V,Kobenhavn N,Kobenhavn V → Kobenhavn N,Saturday,18
dz55096,2025-08-16 14:07:08,2025-08-16 17:09:08,55.666821,12.518929,55.66679,12.518862,182,34,2500,Renault Zoe,car,2500,2500,2100.0,2100.0,Valby,Kobenhavn O,Valby → Kobenhavn O,Saturday,14
dz92212,2025-08-17 15:01:09,2025-08-17 15:09:08,55.684269,12.583858,55.684254,12.583776,8,34,1304,Renault Zoe,car,1050,1050,2400.0,2400.0,Kobenhavn K,Kobenhavn NV,Kobenhavn K → Kobenhavn NV,Sunday,15
dz92216,2025-08-17 04:11:08,2025-08-17 05:19:08,55.671108,12.619658,55.671062,12.619696,68,34,2300,Renault Zoe,car,2300,2300,2000.0,2000.0,Kobenhavn S,Frederiksberg C,Kobenhavn S → Frederiksberg C,Sunday,4
dz92216,2025-08-17 15:33:08,2025-08-17 15:53:09,55.685051,12.566799,55.684929,12.567011,20,34,1366,Renault Zoe,car,1050,1050,2000.0,2000.0,Kobenhavn K,Frederiksberg C,Kobenhavn K → Frederiksberg C,Sunday,15
dz92217,2025-08-16 19:45:08,2025-08-16 20:05:08,55.684715,12.522506,55.68478,12.522569,20,34,2000,Renault Zoe,car,2000,2000,2000.0,2000.0,Frederiksberg C,Frederiksberg C,Frederiksberg C → Frederiksberg C,Saturday,19
dz92217,2025-08-18 05:29:08,2025-08-18 05:51:09,55.713192,12.573055,55.713215,12.57307,22,34,2100,Renault Zoe,car,2100,2100,2400.0,2400.0,Kobenhavn O,Kobenhavn NV,Kobenhavn O → Kobenhavn NV,Monday,5
ea69861,2025-08-17 13:53:08,2025-08-17 19:37:08,55.640121,12.614964,55.640102,12.614962,344,34,2300,Renault Zoe,car,2300,2300,2500.0,2500.0,Kobenhavn S,Valby,Kobenhavn S → Valby,Sunday,13
ea75185,2025-08-16 11:27:09,2025-08-16 11:55:08,55.667381,12.499086,55.667374,12.49905,28,34,2500,Renault Zoe,car,2500,2500,2000.0,2000.0,Valby,Frederiksberg C,Valby → Frederiksberg C,Saturday,11
eb61370,2025-08-16 19:47:08,2025-08-16 23:37:08,55.683945,12.575712,55.683968,12.575689,230,34,1123,Renault Zoe,car,1050,1050,2400.0,2400.0,Kobenhavn K,Kobenhavn NV,Kobenhavn K → Kobenhavn NV,Saturday,19
eb78399,2025-08-17 23:21:09,2025-08-18 00:05:08,55.711239,12.561234,55.711346,12.561193,44,34,2100,Renault Zoe,car,2100,2100,2700.0,2700.0,Kobenhavn O,Bronshoj,Kobenhavn O → Bronshoj,Sunday,23
el65568,2025-08-16 21:31:08,2025-08-16 22:39:08,55.679581,12.584271,55.67955,12.584314,68,34,1069,Renault Zoe,car,1050,1050,2000.0,2000.0,Kobenhavn K,Frederiksberg C,Kobenhavn K → Frederiksberg C,Saturday,21
cx86650,2025-08-18 09:39:09,2025-08-18 10:17:09,55.658348,12.514563,55.658398,12.514587,38,34,2500,Renault Zoe,car,2500,2500,2100.0,2100.0,Valby,Kobenhavn O,Valby → Kobenhavn O,Monday,9
de88588,2025-08-19 16:27:08,2025-08-19 16:55:09,55.708286,12.561398,55.708302,12.561421,28,94,2100,Renault Zoe,car,2100,2100,2300.0,2300.0,Kobenhavn O,Kobenhavn S,Kobenhavn O → Kobenhavn S,Tuesday,16
de88712,2025-08-19 15:39:08,2025-08-19 17:47:08,55.705666,12.534841,55.705769,12.534847,128,34,2400,Renault Zoe,car,2400,2400,2000.0,2000.0,Kobenhavn NV,Frederiksberg C,Kobenhavn NV → Frederiksberg C,Tuesday,15
dy44116,2025-08-19 18:27:08,2025-08-19 18:37:09,55.681942,12.57016,55.681942,12.570063,10,34,1358,Renault Zoe,car,1050,1050,2700.0,2700.0,Kobenhavn K,Bronshoj,Kobenhavn K → Bronshoj,Tuesday,18
dy44116,2025-08-19 19:03:08,2025-08-20 02:27:08,55.652687,12.536389,55.652687,12.536379,444,34,2450,Renault Zoe,car,2450,2450,2700.0,2700.0,Kobenhavn SV,Bronshoj,Kobenhavn SV → Bronshoj,Tuesday,19
dz92208,2025-08-19 18:41:08,2025-08-19 20:13:08,55.630226,12.575543,55.630226,12.575543,92,34,1561,Renault Zoe,car,1550,1550,2200.0,2200.0,Kobenhavn V,Kobenhavn N,Kobenhavn V → Kobenhavn N,Tuesday,18
ea13814,2025-08-19 12:11:09,2025-08-19 16:13:08,55.708977,12.516862,55.708977,12.516911,242,2,2400,Renault Zoe,car,2400,2400,2200.0,2200.0,Kobenhavn NV,Kobenhavn N,Kobenhavn NV → Kobenhavn N,Tuesday,12
ea53685,2025-08-19 18:13:08,2025-08-20 02:27:08,55.691219,12.543534,55.691185,12.543654,494,34,1959,Renault Zoe,car,2000,2000,2500.0,2500.0,Frederiksberg C,Valby,Frederiksberg C → Valby,Tuesday,18
eb61356,2025-08-18 09:23:09,2025-08-18 09:51:08,55.666389,12.509805,55.666389,12.509816,28,35,2500,Renault Zoe,car,2500,2500,2500.0,2500.0,Valby,Valby,Valby → Valby,Monday,9
ed35721,2025-08-18 10:31:09,2025-08-18 11:03:08,55.677677,12.587821,55.677677,12.58776,32,34,1055,Renault Zoe,car,1050,1050,2200.0,2200.0,Kobenhavn K,Kobenhavn N,Kobenhavn K → Kobenhavn N,Monday,10
